Lands	C	P(oncurve)	1C	CC	P(oncurve)	2C	1CC	CCC	P(oncurve)	3C	2CC	1CCC	CCCC	P(oncurve)	4C	3CC	2CCC	1CCCC	CCCCC	P(oncurve)	5C	4CC	3CCC	2CCCC	1CCCCC	CCCCCC	P(oncurve)	6C	5CC	4CCC	3CCCC	2CCCCC	1CCCCCC	CCCCCCC	P(oncurve)	7C	6CC	5CCC	4CCCC	3CCCCC	2CCCCCC	1CCCCCCC	CCCCCCCC	P(oncurve)	Avg.handsize:
24	16	95.96%	15	22	91.61%	13	19	24	58.54%	11	17	21	24	29.65%	10	15	19	22	24	12.88%	9	13	17	20	22	24	4.95%	8	12	15	18	21	23	24	1.72%	6	10	14	16	19	21	23	24	0.54%	6.32cards
25	17	96.52%	16	23	92.85%	13	20	24	61.00%	12	17	22	25	32.44%	10	16	20	23	25	14.84%	9	14	18	21	23	25	6.00%	8	12	16	19	21	24	25	2.19%	7	11	14	17	20	22	24	25	0.73%	6.38cards
26	17	96.30%	16	24	93.53%	14	21	25	63.77%	12	18	23	26	35.32%	11	16	20	24	26	16.88%	9	14	18	21	24	26	7.16%	8	13	16	19	22	25	26	2.76%	7	11	15	17	20	23	25	26	0.97%	6.42cards
27	18	96.78%	17	25	94.48%	14	21	26	66.06%	12	19	23	27	38.11%	11	17	21	25	27	19.08%	10	15	19	22	25	27	8.49%	9	13	17	20	23	25	27	3.43%	8	12	15	18	21	24	26	27	1.27%	6.47cards
28	18	96.54%	17	26	94.88%	15	22	27	68.61%	13	19	24	28	40.93%	12	17	22	26	28	21.34%	10	15	20	23	26	28	9.95%	9	14	18	21	24	26	28	4.20%	8	12	16	19	22	24	27	28	1.63%	6.51cards
29	19	96.97%	18	26	95.17%	15	23	28	70.77%	13	20	25	29	43.77%	12	18	23	26	29	23.73%	10	16	20	24	27	29	11.50%	9	14	18	22	25	27	29	5.09%	8	13	16	20	23	25	28	29	2.07%	6.55cards
30	19	96.75%	18	27	95.49%	16	24	29	73.00%	14	21	26	30	46.65%	12	19	23	27	30	26.15%	11	16	21	25	28	30	13.22%	9	15	19	22	26	28	30	6.10%	8	13	17	20	23	26	28	30	2.58%	6.59cards
31	19	96.57%	19	28	96.06%	16	24	30	74.69%	14	21	27	31	49.27%	13	19	24	28	31	28.69%	11	17	22	26	29	31	15.07%	10	15	19	23	26	29	31	7.22%	9	13	17	21	24	27	29	31	3.20%	6.62cards
32	20	96.91%	19	29	96.24%	17	25	31	76.67%	15	22	28	32	52.07%	13	20	25	29	32	31.29%	11	17	22	26	30	32	16.99%	10	16	20	24	27	30	32	8.49%	9	14	18	22	25	28	30	32	3.91%	6.65cards
33	20	96.72%	19	29	96.05%	17	26	32	78.34%	15	23	28	33	54.60%	14	20	26	30	33	33.90%	12	18	23	27	31	33	19.09%	10	16	21	25	28	31	33	9.86%	9	14	19	23	26	29	31	33	4.73%	6.68cards
34	21	97.05%	20	30	96.48%	17	26	33	79.72%	15	23	29	34	57.05%	14	21	26	31	34	36.57%	12	19	24	28	31	34	21.28%	11	16	21	25	29	32	34	11.38%	10	15	19	23	27	30	32	34	5.66%	6.70cards
35	21	96.87%	20	31	96.62%	18	27	33	81.13%	16	24	30	34	59.47%	14	22	27	32	35	39.23%	13	19	24	29	32	35	23.54%	11	17	22	26	30	33	35	13.03%	10	15	20	24	27	30	33	35	6.71%	6.73cards
36	22	97.16%	21	31	96.68%	18	28	34	82.48%	16	24	31	35	61.83%	15	22	28	32	36	41.88%	13	20	25	29	33	36	25.90%	11	17	22	27	31	34	36	14.79%	10	16	20	24	28	31	34	36	7.87%	6.75cards
37	22	97.03%	21	32	96.78%	19	28	35	83.75%	17	25	32	36	64.22%	15	23	28	33	37	44.58%	13	20	25	30	34	37	28.28%	12	18	23	27	31	35	37	16.68%	11	16	21	25	29	32	35	37	9.19%	6.77cards
38	22	96.86%	22	33	97.09%	19	29	36	84.96%	17	26	32	37	66.35%	15	23	29	34	38	47.19%	14	21	26	31	35	38	30.83%	12	18	24	28	32	36	38	18.71%	11	17	21	26	30	33	36	38	10.62%	6.79cards
39	23	97.15%	22	33	96.92%	19	29	37	85.89%	17	26	33	38	68.43%	16	24	30	35	39	49.89%	14	21	27	32	36	39	33.44%	12	19	24	29	33	36	39	20.81%	11	17	22	27	30	34	37	39	12.18%	6.80cards
40	23	97.00%	22	34	96.99%	20	30	38	87.09%	18	27	34	39	70.62%	16	24	31	36	40	52.49%	14	22	28	33	37	40	36.06%	13	19	25	30	34	37	40	23.05%	11	18	23	27	31	35	38	40	13.87%	6.82cards
41	24	97.28%	22	35	97.05%	20	31	38	87.90%	18	27	35	40	72.49%	17	25	31	37	41	55.04%	15	22	28	33	38	41	38.66%	13	20	25	30	35	38	41	25.38%	12	18	23	28	32	36	39	41	15.70%	6.83cards
42	24	97.17%	23	35	97.13%	21	31	39	88.81%	19	28	35	41	74.37%	17	25	32	38	42	57.57%	15	23	29	34	39	42	41.34%	13	20	26	31	35	39	42	27.79%	12	18	24	28	33	36	40	42	17.63%	6.84cards
43	24	97.07%	23	36	97.20%	21	32	40	89.68%	19	28	36	42	76.09%	17	26	33	38	43	59.96%	15	23	29	35	39	43	43.98%	13	21	27	32	36	40	43	30.30%	12	19	24	29	33	37	41	43	19.71%	6.85cards
44	25	97.32%	23	36	97.06%	21	32	41	90.32%	19	29	37	43	77.81%	18	26	33	39	43	62.27%	15	24	30	36	40	44	46.67%	14	21	27	33	37	41	44	32.88%	13	19	25	30	34	38	42	44	21.91%	6.86cards
45	25	97.23%	24	37	97.35%	21	33	42	91.07%	19	30	37	44	79.36%	18	27	34	40	44	64.65%	16	24	31	36	41	45	49.34%	14	22	28	33	38	42	45	35.50%	13	20	25	30	35	39	42	45	24.17%	6.86cards
46	25	97.15%	24	37	97.24%	22	33	42	91.64%	20	30	38	44	80.82%	18	27	35	41	45	66.84%	16	25	31	37	42	46	51.98%	14	22	28	34	39	43	46	38.15%	13	20	26	31	36	40	43	46	26.59%	6.87cards
47	26	97.41%	24	38	97.31%	22	34	43	92.29%	20	30	39	45	82.22%	19	28	35	42	46	69.03%	16	25	32	38	43	47	54.59%	15	23	29	35	40	44	47	40.89%	13	20	26	32	37	41	44	47	29.05%	6.87cards
48	26	97.32%	24	38	97.22%	22	34	44	92.79%	20	31	39	46	83.50%	19	28	36	42	47	71.06%	17	25	33	39	44	48	57.18%	15	23	30	35	40	45	48	43.56%	14	21	27	32	37	41	45	48	31.59%	6.87cards
49	26	97.26%	25	39	97.49%	23	35	44	93.36%	21	31	40	47	84.82%	19	29	37	43	48	73.04%	17	26	33	39	45	49	59.63%	15	23	30	36	41	45	49	46.24%	14	21	27	33	38	42	46	49	34.24%	6.88cards
