name,cmc,text,mana_cost,card_id,is_dfc,color_identity,board,power,toughness,supertype,type,subtype
"Juri, Master of the Revue",2.0,"Whenever you sacrifice a permanent, put a +1/+1 counter on Juri, Master of the Revue.
When Juri dies, it deals damage equal to its power to any target.",{B}{R},0,False,"['B', 'R']",commander,1,1,['Legendary'],['Creature'],"['Human', 'Shaman']"
Woe Strider,3.0,"When Woe Strider enters the battlefield, create a 0/1 white Goat creature token.
Sacrifice another creature: Scry 1.
Escape—{3}{B}{B}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)
Woe Strider escapes with two +1/+1 counters on it.",{2}{B},1,False,['B'],mainboard,3,2,[],['Creature'],['Horror']
Bonecrusher Giant,3.0,"Whenever Bonecrusher Giant becomes the target of a spell, Bonecrusher Giant deals 2 damage to that spell's controller.",{2}{R},2,True,['R'],mainboard,4,3,[],['Creature'],['Giant']
Stomp,2.0,Damage can't be prevented this turn. Stomp deals 2 damage to any target.,{1}{R},2,True,['R'],mainboard,None,None,[],['Instant'],['Adventure']
"Chandra, Acolyte of Flame",3.0,"0: Put a loyalty counter on each red planeswalker you control.
0: Create two 1/1 red Elemental creature tokens. They gain haste. Sacrifice them at the beginning of the next end step.
−2: You may cast target instant or sorcery card with mana value 3 or less from your graveyard. If that spell would be put into your graveyard, exile it instead.",{1}{R}{R},3,False,['R'],mainboard,None,None,['Legendary'],['Planeswalker'],['Chandra']
Sulfurous Springs,0.0,"{T}: Add {C}.
{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.",,4,False,"['B', 'R']",mainboard,None,None,[],['Land'],[]
Urza's Bauble,0.0,"{T}, Sacrifice Urza's Bauble: Look at a card at random in target player's hand. You draw a card at the beginning of the next turn's upkeep.",{0},5,False,[],mainboard,None,None,[],['Artifact'],[]
"Shizo, Death's Storehouse",0.0,"{T}: Add {B}.
{B}, {T}: Target legendary creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)",,6,False,['B'],mainboard,None,None,['Legendary'],['Land'],[]
Graven Cairns,0.0,"{T}: Add {C}.
{B/R}, {T}: Add {B}{B}, {B}{R}, or {R}{R}.",,7,False,"['B', 'R']",mainboard,None,None,[],['Land'],[]
Command Tower,0.0,{T}: Add one mana of any color in your commander's color identity.,,8,False,[],mainboard,None,None,[],['Land'],[]
Diabolic Intent,2.0,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a card, put that card into your hand, then shuffle.",{1}{B},9,False,['B'],mainboard,None,None,[],['Sorcery'],[]
Pyrokinesis,6.0,"You may exile a red card from your hand rather than pay this spell's mana cost.
Pyrokinesis deals 4 damage divided as you choose among any number of target creatures.",{4}{R}{R},10,False,['R'],mainboard,None,None,[],['Instant'],[]
Gutterbones,1.0,"Gutterbones enters the battlefield tapped.
{1}{B}: Return Gutterbones from your graveyard to your hand. Activate only during your turn and only if an opponent lost life this turn.",{B},11,False,['B'],mainboard,2,1,[],['Creature'],"['Skeleton', 'Warrior']"
"Judith, the Scourge Diva",3.0,"Other creatures you control get +1/+0.
Whenever a nontoken creature you control dies, Judith, the Scourge Diva deals 1 damage to any target.",{1}{B}{R},12,False,"['B', 'R']",mainboard,2,2,['Legendary'],['Creature'],"['Human', 'Shaman']"
"Urborg, Tomb of Yawgmoth",0.0,Each land is a Swamp in addition to its other land types.,,13,False,[],mainboard,None,None,['Legendary'],['Land'],[]
Claim,1.0,Return target creature card with mana value 2 or less from your graveyard to the battlefield.,{B},14,True,"['B', 'R']",mainboard,None,None,[],['Sorcery'],[]
Fame,2.0,"Aftermath (Cast this spell only from your graveyard. Then exile it.)
Target creature gets +2/+0 and gains haste until end of turn.",{1}{R},14,True,"['B', 'R']",mainboard,None,None,[],['Sorcery'],[]
Fatal Push,1.0,"Destroy target creature if it has mana value 2 or less.
Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent you controlled left the battlefield this turn.",{B},15,False,['B'],mainboard,None,None,[],['Instant'],[]
"Kari Zev, Skyship Raider",2.0,"First strike, menace
Whenever Kari Zev, Skyship Raider attacks, create Ragavan, a legendary 2/1 red Monkey creature token. Ragavan enters the battlefield tapped and attacking. Exile that token at end of combat.",{1}{R},16,False,['R'],mainboard,1,3,['Legendary'],['Creature'],"['Human', 'Pirate']"
Falkenrath Aristocrat,4.0,"Flying, haste
Sacrifice a creature: Falkenrath Aristocrat gains indestructible until end of turn. If the sacrificed creature was a Human, put a +1/+1 counter on Falkenrath Aristocrat.",{2}{B}{R},17,False,"['B', 'R']",mainboard,4,1,[],['Creature'],"['Vampire', 'Noble']"
Blackcleave Cliffs,0.0,"Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {R}.",,18,False,"['B', 'R']",mainboard,None,None,[],['Land'],[]
Viscera Seer,1.0,Sacrifice a creature: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),{B},19,False,['B'],mainboard,1,1,[],['Creature'],"['Vampire', 'Wizard']"
Seal of Fire,1.0,Sacrifice Seal of Fire: It deals 2 damage to any target.,{R},20,False,['R'],mainboard,None,None,[],['Enchantment'],[]
Skullclamp,1.0,"Equipped creature gets +1/-1.
Whenever equipped creature dies, draw two cards.
Equip {1}",{1},21,False,[],mainboard,None,None,[],['Artifact'],['Equipment']
Goblin Bombardment,2.0,Sacrifice a creature: Goblin Bombardment deals 1 damage to any target.,{1}{R},22,False,['R'],mainboard,None,None,[],['Enchantment'],[]
Fireblast,6.0,"You may sacrifice two Mountains rather than pay this spell's mana cost.
Fireblast deals 4 damage to any target.",{4}{R}{R},23,False,['R'],mainboard,None,None,[],['Instant'],[]
Heartfire,2.0,"As an additional cost to cast this spell, sacrifice a creature or planeswalker.
Heartfire deals 4 damage to any target.",{1}{R},24,False,['R'],mainboard,None,None,[],['Instant'],[]
Mayhem Devil,3.0,"Whenever a player sacrifices a permanent, Mayhem Devil deals 1 damage to any target.",{1}{B}{R},25,False,"['B', 'R']",mainboard,3,3,[],['Creature'],['Devil']
Carrion Feeder,1.0,"Carrion Feeder can't block.
Sacrifice a creature: Put a +1/+1 counter on Carrion Feeder.",{B},26,False,['B'],mainboard,1,1,[],['Creature'],['Zombie']
Lightning Skelemental,3.0,"Trample, haste
Whenever Lightning Skelemental deals combat damage to a player, that player discards two cards.
At the beginning of the end step, sacrifice Lightning Skelemental.",{B}{R}{R},27,False,"['B', 'R']",mainboard,6,1,[],['Creature'],"['Elemental', 'Skeleton']"
Prismatic Vista,0.0,"{T}, Pay 1 life, Sacrifice Prismatic Vista: Search your library for a basic land card, put it onto the battlefield, then shuffle.",,28,False,[],mainboard,None,None,[],['Land'],[]
Seasoned Pyromancer,3.0,"When Seasoned Pyromancer enters the battlefield, discard two cards, then draw two cards. For each nonland card discarded this way, create a 1/1 red Elemental creature token.
{3}{R}{R}, Exile Seasoned Pyromancer from your graveyard: Create two 1/1 red Elemental creature tokens.",{1}{R}{R},29,False,['R'],mainboard,2,2,[],['Creature'],"['Human', 'Shaman']"
Unearth,1.0,"Return target creature card with mana value 3 or less from your graveyard to the battlefield.
Cycling {2} ({2}, Discard this card: Draw a card.)",{B},30,False,['B'],mainboard,None,None,[],['Sorcery'],[]
Deadly Rollick,4.0,"If you control a commander, you may cast this spell without paying its mana cost.
Exile target creature.",{3}{B},31,False,['B'],mainboard,None,None,[],['Instant'],[]
Collateral Damage,1.0,"As an additional cost to cast this spell, sacrifice a creature.
Collateral Damage deals 3 damage to any target.",{R},32,False,['R'],mainboard,None,None,[],['Instant'],[]
City of Brass,0.0,"Whenever City of Brass becomes tapped, it deals 1 damage to you.
{T}: Add one mana of any color.",,33,False,[],mainboard,None,None,[],['Land'],[]
Mana Confluence,0.0,"{T}, Pay 1 life: Add one mana of any color.",,34,False,[],mainboard,None,None,[],['Land'],[]
Blood Crypt,0.0,"({T}: Add {B} or {R}.)
As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,35,False,"['B', 'R']",mainboard,None,None,[],['Land'],"['Swamp', 'Mountain']"
Grim Lavamancer,1.0,"{R}, {T}, Exile two cards from your graveyard: Grim Lavamancer deals 2 damage to any target.",{R},36,False,['R'],mainboard,1,1,[],['Creature'],"['Human', 'Wizard']"
Barbarian Ring,0.0,"{T}: Add {R}. Barbarian Ring deals 1 damage to you.
Threshold — {R}, {T}, Sacrifice Barbarian Ring: It deals 2 damage to any target. Activate only if seven or more cards are in your graveyard.",,37,False,['R'],mainboard,None,None,[],['Land'],[]
Badlands,0.0,({T}: Add {B} or {R}.),,38,False,"['B', 'R']",mainboard,None,None,[],['Land'],"['Swamp', 'Mountain']"
Demonic Tutor,2.0,"Search your library for a card, put that card into your hand, then shuffle.",{1}{B},39,False,['B'],mainboard,None,None,[],['Sorcery'],[]
Dark Confidant,2.0,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value.",{1}{B},40,False,['B'],mainboard,2,1,[],['Creature'],"['Human', 'Wizard']"
Mishra's Bauble,0.0,"{T}, Sacrifice Mishra's Bauble: Look at the top card of target player's library. Draw a card at the beginning of the next turn's upkeep.",{0},41,False,[],mainboard,None,None,[],['Artifact'],[]
Chain Lightning,1.0,"Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy.",{R},42,False,['R'],mainboard,None,None,[],['Sorcery'],[]
Reanimate,1.0,Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its mana value.,{B},43,False,['B'],mainboard,None,None,[],['Sorcery'],[]
