name,cmc,text,mana_cost,card_id,is_dfc,color_identity,board,power,toughness,supertype,type,subtype
"Cecily, Haunted Mage",4.0,"Your maximum hand size is eleven.
Whenever Cecily, Haunted Mage attacks, you draw a card and you lose 1 life. Then if you have eleven or more cards in your hand, you may cast an instant or sorcery spell from your hand without paying its mana cost.
Friends forever (You can have two commanders if both have friends forever.)",{1}{U}{B}{R},0,False,"['B', 'R', 'U']",commander,3,5,['Legendary'],['Creature'],"['Human', 'Wizard']"
"Wernog, Rider's Chaplain",2.0,"When Wernog, Rider's Chaplain enters or leaves the battlefield, each opponent may investigate. Each opponent who doesn't loses 1 life. You investigate X times, where X is one plus the number of opponents who investigated this way.
Friends forever (You can have two commanders if both have friends forever.)",{W}{B},1,False,"['B', 'W']",commander,1,2,['Legendary'],['Creature'],['Human']
Rain of Filth,1.0,"Until end of turn, lands you control gain ""Sacrifice this land: Add {B}.""",{B},2,False,['B'],mainboard,None,None,[],['Instant'],[]
Brainstorm,1.0,"Draw three cards, then put two cards from your hand on top of your library in any order.",{U},3,False,['U'],mainboard,None,None,[],['Instant'],[]
Preordain,1.0,"Scry 2, then draw a card. (To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",{U},4,False,['U'],mainboard,None,None,[],['Sorcery'],[]
Gitaxian Probe,1.0,"({U/P} can be paid with either {U} or 2 life.)
Look at target player's hand.
Draw a card.",{U/P},5,False,['U'],mainboard,None,None,[],['Sorcery'],[]
Ponder,1.0,"Look at the top three cards of your library, then put them back in any order. You may shuffle.
Draw a card.",{U},6,False,['U'],mainboard,None,None,[],['Sorcery'],[]
Xander's Lounge,0.0,"({T}: Add {U}, {B}, or {R}.)
Xander's Lounge enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",,7,False,"['B', 'R', 'U']",mainboard,None,None,[],['Land'],"['Island', 'Swamp', 'Mountain']"
Raffine's Tower,0.0,"({T}: Add {W}, {U}, or {B}.)
Raffine's Tower enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",,8,False,"['B', 'U', 'W']",mainboard,None,None,[],['Land'],"['Plains', 'Island', 'Swamp']"
Underworld Breach,2.0,"Each nonland card in your graveyard has escape. The escape cost is equal to the card's mana cost plus exile three other cards from your graveyard. (You may cast cards from your graveyard for their escape cost.)
At the beginning of the end step, sacrifice Underworld Breach.",{1}{R},9,False,['R'],mainboard,None,None,[],['Enchantment'],[]
Cut Down,1.0,Destroy target creature with total power and toughness 5 or less.,{B},10,False,['B'],mainboard,None,None,[],['Instant'],[]
Flame Slash,1.0,Flame Slash deals 4 damage to target creature.,{R},11,False,['R'],mainboard,None,None,[],['Sorcery'],[]
